,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
132,SZ000568,0.0128551181144483,0.3333333333333333,-0.004511416,0.01736653407285284,0.01736653407285284,,,2026-03-13,51.59655,52.337543
133,SH601618,0.0128162683601265,0.6666666666666666,-0.0024272203,0.015243488704669957,0.015243488704669957,SH601618,中国中冶,2026-03-13,0.110827714,0.113430426
134,SZ300750,0.0122039204495176,0.6666666666666666,-0.00831759,0.02052151020934426,0.02052151020934426,,,2026-03-13,1.1481439,1.1807731
135,SH600050,0.0110408197769591,1.0,-0.009708762,0.02074958194584338,0.02074958194584338,SH600050,中国联通,2026-03-13,2.0740905,2.0874372
136,SH601138,0.0106036305829657,0.3333333333333333,-0.03425747,0.044861102144397584,0.044861102144397584,SH601138,工业富联,2026-03-13,0.19006836,0.19175906
137,SH600519,0.0102936524343698,1.0,0.016997576,-0.006703923325517896,0.006703923325517896,SH600519,贵州茅台,2026-03-13,82.42219,84.5609
138,SH601100,0.0096154722677114,0.6666666666666666,-0.014228404,0.023843875835979224,0.023843875835979224,SH601100,恒立液压,2026-03-13,2.3791425,2.4219599
139,SH601136,0.0093950928369574,0.3333333333333333,0.003908396,0.005486697069745486,0.005486697069745486,SH601136,首创证券,2026-03-13,0.17717512,0.1796753
140,SZ300979,0.0085877166616933,0.3333333333333333,0.0055025816,0.003085135065318788,0.003085135065318788,,,2026-03-13,0.006222379,0.00634297
141,SZ002236,0.0084996183693341,0.3333333333333333,-0.010586083,0.01908570130466735,0.01908570130466735,,,2026-03-13,23.855127,24.028223
142,SH600085,0.0079165886164468,0.3333333333333333,0.0006558895,0.007260699105338402,0.007260699105338402,SH600085,同仁堂,2026-03-13,7.439055,7.515408
143,SH601899,0.0075006927941847,0.3333333333333333,0.0043628216,0.0031378712152052082,0.0031378712152052082,SH601899,紫金矿业,2026-03-13,0.84970814,0.8693497
144,SH601059,0.0074712652421582,0.6666666666666666,0.0,0.0074712652421582,0.0074712652421582,SH601059,信达证券,2026-03-13,0.12592815,0.12730877
145,SZ000596,0.0073523582742054,0.3333333333333333,-0.013824046,0.021176403932316974,0.021176403932316974,,,2026-03-13,6.6226516,6.687734
146,SZ002600,0.0065727707069693,0.6666666666666666,-0.018775702,0.02534847222979645,0.02534847222979645,,,2026-03-13,0.70090014,0.7144915
147,SZ002352,0.0064072224149233,0.6666666666666666,-0.0055598617,0.011967084074926963,0.011967084074926963,,,2026-03-13,0.51522344,0.520291
148,SH601077,0.0043686290791333,0.3333333333333333,0.005859256,-0.0014906267115771489,0.0014906267115771489,SH601077,渝农商行,2026-03-13,0.17037429,0.17188703
149,SH601998,0.0037970735480287,0.3333333333333333,0.034127474,-0.030330400283148057,0.030330400283148057,SH601998,中信银行,2026-03-13,0.24677444,0.2557836
150,SH603296,0.0027546951465084,0.6666666666666666,-0.0349617,0.03771639558596152,0.03771639558596152,SH603296,华勤技术,2026-03-13,0.03430854,0.03450501
151,SZ000651,0.0011275858601406,0.6666666666666666,0.004125476,-0.002997890023343287,0.002997890023343287,,,2026-03-13,482.30847,487.5317
