,instrument,avg_score,pos_ratio,real_label,error,abs_error,datetime,n1close,n2high
33,SZ002142,0.1020371751073797,1.0,-0.009923995,0.11196116964854791,0.11196116964854791,2026-03-11,0.39074188,0.39118326
34,SH600050,0.1001604203717468,1.0,0.008629918,0.09153050227329709,0.09153050227329709,2026-03-11,2.0740905,2.1140413
35,SZ002352,0.098483222410066,1.0,0.019256711,0.07922651140390145,0.07922651140390145,2026-03-11,0.51028055,0.52173364
36,SZ000001,0.0977805468164968,1.0,-0.00091695786,0.0986975046717214,0.0986975046717214,2026-03-11,1.2622528,1.2691684
37,SH600016,0.0935444283758008,1.0,-0.0075120926,0.10105652096613284,0.10105652096613284,2026-03-11,15.600241,15.717746
38,SH601166,0.0929788233136395,1.0,0.0010946989,0.09188412440769468,0.09188412440769468,2026-03-11,1.2985771,1.311086
39,SZ000651,0.0914857671385602,1.0,0.01900816,0.07247760750110903,0.07247760750110903,2026-03-11,471.11453,480.8161
40,SH600346,0.0897142404938939,1.0,0.021368861,0.0683453792954686,0.0683453792954686,2026-03-11,8.179558,8.572803
41,SH601398,0.0881006012596583,1.0,0.0055960417,0.08250455958027597,0.08250455958027597,2026-03-11,4.1456094,4.180427
42,SH601236,0.0860811842338476,1.0,-0.0031612515,0.08924243577879999,0.08924243577879999,2026-03-11,0.4567795,0.45963144
43,SH600377,0.0851030197973283,1.0,-0.004868269,0.08997128876400311,0.08997128876400311,2026-03-11,2.9840474,2.9958022
44,SH601111,0.0846877284806297,1.0,-0.0011806488,0.08586837728434064,0.08586837728434064,2026-03-11,1.2365711,1.2453518
45,SH600111,0.0843909271094434,1.0,-0.016838193,0.1012291200492017,0.1012291200492017,2026-03-11,105.80131,106.74132
46,SZ300408,0.0839037843965598,1.0,-0.025627673,0.10953145706883152,0.10953145706883152,2026-03-11,0.61734015,0.61490136
47,SZ000425,0.0828238016730545,1.0,-0.013936281,0.09676008287727814,0.09676008287727814,2026-03-11,39.684692,40.27394
48,SH600025,0.0822177282648684,1.0,-0.008442044,0.09065977252298607,0.09065977252298607,2026-03-11,1.648519,1.6612005
49,SZ300251,0.0809954165238863,1.0,-0.015579164,0.09657458055205402,0.09657458055205402,2026-03-11,2.2456517,2.2711537
50,SH688472,0.080528454261556,1.0,-0.023751497,0.10427995153023276,0.10427995153023276,2026-03-11,0.09863936,0.099177144
51,SH601728,0.0801373949553713,1.0,0.030261397,0.049875997593615926,0.049875997593615926,2026-03-11,0.23595825,0.24394727
52,SZ000100,0.0799899498775235,1.0,-0.011950016,0.09193996589925202,0.09193996589925202,2026-03-11,1.2031373,1.2137647
53,SZ000166,0.0797276603751049,1.0,-0.0063776374,0.08610529776142692,0.08610529776142692,2026-03-11,0.03209411,0.032266848
54,SZ000708,0.0796845465808763,1.0,-0.00919807,0.08888261615332503,0.08888261615332503,2026-03-11,6.339724,6.4507804
55,SH600019,0.0781713448087799,1.0,0.0028830767,0.07528826814099425,0.07528826814099425,2026-03-11,2.2419014,2.2706416
56,SZ000725,0.0772155379228584,1.0,-0.013755858,0.09097139586734693,0.09097139586734693,2026-03-11,0.25113785,0.2527496
